Email,Password,Address,Last Name,First Name,Phone,Attendee Type,Affiliate Organization
jane.johnson@email.com,rF6wfNYT,739 Maple St,Johnson,Jane,63270917,Guest,Others
grace.doe@example.com,jM4WVuav,436 Cedar St,Doe,Grace,23462679,Student,SPEED
tom.doe@example.com,zVIsHIvK,794 Cedar St,Doe,Tom,21840046,Student,SPEED
emily.smith@example.com,icLhWE1Y,621 Maple St,Smith,Emily,22320480,Staff,PolyU
jane.brown@example.com,4seQrV3C,714 Cedar St,Brown,Jane,88874772,Staff,SPEED
emily.taylor@testmail.com,B6K6n8R7,221 Oak St,Taylor,Emily,12597115,Alumni,HKCC
amit.patel@email.com,pUwwA0oV,157 Maple St,Patel,Amit,54951774,Student,PolyU
sophia.clark@example.com,OVfwIARV,556 Cedar St,Clark,Sophia,28681246,Student,HKCC
anna.doe@example.com,Wvz77hrv,372 Willow St,Doe,Anna,89706009,Student,PolyU
anna.patel@email.com,h3VlBAmY,195 Cedar St,Patel,Anna,47928551,Guest,Others
li.anderson@example.com,oz4uGfne,212 Oak St,Anderson,Li,59415323,Alumni,HKCC
amit.chen@email.com,fdX6yzDX,244 Birch St,Chen,Amit,17568820,Guest,Others
grace.brown@email.com,fpUb3Gbw,656 Oak St,Brown,Grace,35076624,Staff,PolyU
john.johnson@testmail.com,jUBmCiDj,680 Willow St,Johnson,John,53920173,Alumni,PolyU
tom.taylor@email.com,z3IJQgmT,8 Maple St,Taylor,Tom,58084990,Student,SPEED
chris.clark@email.com,1Knjgsr3,446 Maple St,Clark,Chris,49313763,Student,PolyU
li.johnson@email.com,bUpin1wW,968 Cedar St,Johnson,Li,95124573,Staff,SPEED
li.chen@example.com,vkIf0056,686 Cedar St,Chen,Li,70493721,Staff,HKCC
anna.anderson@testmail.com,7abJCfeZ,888 Spruce St,Anderson,Anna,96869830,Student,HKCC
john.brown@example.com,Cr4NUd7U,592 Pine St,Brown,John,47752702,Alumni,HKCC
emily.smith@email.com,HdasGGTx,890 Cedar St,Smith,Emily,28353418,Alumni,SPEED
li.anderson@email.com,VVqinXeP,725 Pine St,Anderson,Li,54929594,Staff,PolyU
anna.doe@example.com,ob4jt4h6,817 Spruce St,Doe,Anna,17791660,Alumni,HKCC
natalie.smith@testmail.com,1g97uzMH,593 Pine St,Smith,Natalie,91785404,Staff,PolyU
li.taylor@testmail.com,jZksd8v1,649 Pine St,Taylor,Li,45202094,Student,PolyU
anna.johnson@email.com,DANYkLM4,984 Cedar St,Johnson,Anna,23872227,Staff,HKCC
mark.brown@example.com,hde4pL0e,139 Willow St,Brown,Mark,25789901,Guest,Others
chris.smith@email.com,de8zGHLo,288 Oak St,Smith,Chris,89583470,Alumni,PolyU
